"year","sftgcode","pt.succ","pt.fail","csp.succ","csp.fail","csp.plot","csp.rumr","pt.s.d","pt.f.d","pt.a.d","csp.s.d","csp.f.d","csp.a.d","cou.s.d","cou.f.d","cou.a.d","pt.tries5d","csp.tries5d","cou.tries5d","pt.glo.t","pt.glo.p","pt.glo.t.ln","csp.glo.t","csp.glo.p","csp.glo.t.ln","cou.glo.t","cou.glo.p","cou.glo.t.ln","pt.reg.t","pt.reg.p","pt.reg.t.ln","csp.reg.t","csp.reg.p","csp.reg.t.ln","cou.reg.t","cou.reg.p","cou.reg.t.ln"
2012,"CHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.39520958083832,1.6094379124341,3,1.79640718562874,1.38629436111989,4,2.39520958083832,1.6094379124341,0,0,0,0,0,0,0,0,0
2013,"CHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.598802395209581,0.693147180559945,5,2.9940119760479,1.79175946922805,5,2.9940119760479,1.79175946922805,0,0,0,0,0,0,0,0,0
2014,"CHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.39520958083832,1.6094379124341,3,1.79640718562874,1.38629436111989,5,2.9940119760479,1.79175946922805,0,0,0,0,0,0,0,0,0
1946,"CHN",NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,2.89855072463768,1.09861228866811,2,2.89855072463768,1.09861228866811,NA,NA,NA,0,0,0,0,0,0
1947,"CHN",NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,4.22535211267606,1.38629436111989,3,4.22535211267606,1.38629436111989,NA,NA,NA,1,14.2857142857143,0.693147180559945,1,14.2857142857143,0.693147180559945
1948,"CHN",NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,7,9.33333333333333,2.07944154167984,7,9.33333333333333,2.07944154167984,NA,NA,NA,1,10,0.693147180559945,1,10,0.693147180559945
1949,"CHN",NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,6.41025641025641,1.79175946922805,5,6.41025641025641,1.79175946922805,NA,NA,NA,1,7.69230769230769,0.693147180559945,1,7.69230769230769,0.693147180559945
1950,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2,2.56410256410256,1.09861228866811,1,1.28205128205128,0.693147180559945,2,2.56410256410256,1.09861228866811,0,0,0,0,0,0,0,0,0
1951,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,5,6.32911392405063,1.79175946922805,5,6.32911392405063,1.79175946922805,6,7.59493670886076,1.94591014905531,1,7.69230769230769,0.693147180559945,1,7.69230769230769,0.693147180559945,1,7.69230769230769,0.693147180559945
1952,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,4,5.06329113924051,1.6094379124341,2,2.53164556962025,1.09861228866811,5,6.32911392405063,1.79175946922805,0,0,0,1,7.69230769230769,0.693147180559945,1,7.69230769230769,0.693147180559945
