"sftgcode","year","country","yrborn","yrdied","reg.eap","reg.afr","reg.eur","reg.mna","reg.sca","reg.amr","dosreg","auto.p","auto.lcl","auto.ucl","nomod.p","nomod.lcl","nomod.ucl","d.pitf","d.da","d.fh","d.bmr","d.dd","all","four","three","uds.mean","uds.sd","uds.median","uds.pct025","uds.pct975"
"ROK",1999,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.05713292508673e-11,1,0.995459561674548,0.744105615308347,0.999939508288705,1,1,1,1,1,1,1,1,0.847879113281955,0.211124074939702,0.844560560667844,0.454095093426826,1.26853831974542
"ROK",2000,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.3691460996505e-11,1,0.995181806078597,0.59067562884235,0.999966175572509,1,1,1,1,1,1,1,1,0.553267277310678,0.169127325672097,0.550039194813823,0.231099708460024,0.894552148700609
"ROK",2001,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.05944874122886e-11,1,0.997229669984741,0.821430562708464,0.999964500605777,1,1,1,1,1,1,1,1,0.77883754187089,0.208742972137774,0.779705148431928,0.373740613341309,1.1910998511895
"ROK",2002,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,4.08752777975533e-12,1,0.996848269922066,0.715255503915345,0.999974890684193,1,1,1,1,1,1,1,1,0.77486851227689,0.20522208832068,0.773315634489681,0.379250800444391,1.18019763196037
"ROK",2003,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.06803385052928e-13,1,0.994300964594488,0.686143010273234,0.999928184425844,1,1,1,1,1,1,1,1,0.777755470399786,0.208545340044069,0.776221652547647,0.372612379115702,1.19023613777931
"ROK",2004,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.91878317027514e-13,1,0.995902863712956,0.821616310283104,0.999922051652207,1,1,1,1,1,1,1,1,0.876253647724305,0.211356756492061,0.873838113992818,0.460011360272644,1.28671278622525
"ROK",2005,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,7.39000136165536e-14,1,0.997812539550056,0.728761415797813,0.999987087486205,1,1,1,1,1,1,1,1,0.871362771551825,0.211447374166014,0.867998481260098,0.456304555683812,1.2823904647084
"ROK",2006,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,6.90746180680168e-13,1,0.99809483772223,0.818135182229977,0.99998360959866,1,1,1,1,1,1,1,1,0.935691069894854,0.173746843413054,0.936886221416035,0.595082654409874,1.27650927687048
"ROK",2007,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,8.24958061192991e-13,1,0.995354659678268,0.665431322789844,0.999956680991105,1,1,1,1,1,1,1,1,0.87460071826222,0.209701258876334,0.874936544740853,0.462522183082378,1.27812777348469
"ROK",2008,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.28156696855171e-12,1,0.997474447677463,0.772087375895193,0.99997828310054,1,1,1,NA,1,0,1,1,1.07110130580323,0.176404033016629,1.07092556388511,0.727540419855031,1.41358860572187
"ROK",2009,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.48264070554847e-12,1,0.995124392229839,0.637995648878804,0.999957695328132,1,1,1,NA,NA,0,0,1,0.803925941169152,0.212421024223819,0.805520258853106,0.386968783553474,1.21682667738815
"ROK",2010,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.48884143463201e-12,1,0.997184786011451,0.591165804838758,0.999988475326715,1,1,1,NA,NA,0,0,1,1.07024312436609,0.173654739156503,1.06857907358783,0.725959659744607,1.41082545449248
"ROK",2011,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.18611693891883e-12,1,0.991354772638765,0.166196130576632,0.999984841890014,1,NA,NA,NA,NA,0,0,0,1.09970977633114,0.186633691387227,1.0995619615367,0.737637665421355,1.47503473262512
"ROK",2012,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.24098617329696e-12,1,0.989478912179922,0.138621523318893,0.99998180563282,1,NA,NA,NA,NA,0,0,0,1.10590661483556,0.18478176555894,1.10052918317361,0.743305216779599,1.47517766447946
"ROK",2013,"South Korea",1948,9999,1,0,0,0,0,0,"East Asia & Pacific",1,1.21836174690805e-12,1,0.992240817179396,0.14616774632761,0.999989531794466,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"RUM",1945,"Romania",1877,9999,0,0,1,0,0,0,"Europe & Eurasia",6.48965113957901e-07,1.62897028745874e-11,0.0252025501634427,0.00590184018433569,1.2879596715268e-05,0.732375749846343,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"RUM",1946,"Romania",1877,9999,0,0,1,0,0,0,"Europe & Eurasia",5.52425161174313e-07,1.72479543380123e-11,0.0173857270224695,0.00499928553933765,2.634234271406e-05,0.489354032051351,0,NA,NA,NA,0,0,0,0,-0.609660714914927,0.23535475365248,-0.599245200803648,-1.09323964901021,-0.16429182851763
"RUM",1947,"Romania",1877,9999,0,0,1,0,0,0,"Europe & Eurasia",4.73684356713673e-07,2.56117645489966e-11,0.00868462038793674,0.00494615420949002,6.33075152353813e-05,0.280712564087778,0,NA,NA,NA,0,0,0,0,-0.607485450438926,0.238988698540154,-0.600567261356286,-1.10570987339515,-0.157104852207636
"RUM",1948,"Romania",1877,9999,0,0,1,0,0,0,"Europe & Eurasia",4.22069191903621e-07,2.10618030181673e-11,0.00838714734599481,0.00689916634320774,2.09452870911099e-05,0.697350485215531,0,NA,NA,0,0,0,0,1,-0.976256029798576,0.258171965194613,-0.973548542184337,-1.48246100269389,-0.486012935593643
"RUM",1949,"Romania",1877,9999,0,0,1,0,0,0,"Europe & Eurasia",3.00772600638877e-07,2.0828182881029e-11,0.0043245727752101,0.00366467827562992,1.60409761766406e-05,0.457518023037521,0,NA,NA,0,0,0,0,1,-0.975674007411917,0.260293739313757,-0.96866139654887,-1.5051182531003,-0.486668416412023
