country,year,mean,se
LBR,1977,-8.43140617366107,2.275700684916962
LBR,1978,-8.432807223856004,2.1820745070593497
LBR,1979,-8.76965042382606,2.233456613023155
LBR,1980,-8.691492539810929,2.2882979989884045
LBR,1981,-8.51052525700814,2.3326334053307933
LBR,1982,-8.503663428133095,2.6328200992674464
LBR,1983,-8.221019820031858,2.6678176794868813
LBR,1984,-8.312585529540682,2.9435341852716057
LBR,1985,-8.214447426202712,3.2888722858784973
LBR,1986,-8.147011162881906,2.7799802336404498
LBR,1987,-7.9056983908494995,2.763823728542523
LBR,1988,-7.929419368747534,2.642836527451413
LBR,1989,-7.552036826481811,2.2570623210946397
LBR,1990,-7.478702206811697,2.134844023052526
LBR,1991,-7.075611126936485,1.9928713216377194
LBR,1992,-6.480232816197425,1.8473722034954028
LBR,1993,-5.796364885513571,1.741508311982314
LBR,1994,-5.284386741776807,1.5809321764107505
LBR,1995,-4.454518385674479,1.5782312707770323
LBR,1996,-2.962437601713908,1.2657806023589784
LBR,1997,-0.40456436617962765,0.7833573361457881
LBR,1998,-0.23246246509216278,0.6346553554394849
LBR,1999,-0.5742607206475528,0.7408063006690055
LBR,2000,-0.6124259747721144,0.7720841788058629
LBR,2001,-1.6171847073761578,0.8535011537694106
LBR,2002,-2.1520411462504123,0.9629632486188198
LBR,2003,-2.9562331095530623,1.2850905858778057
LBR,2004,-2.763492083345641,1.179569986470557
LBR,2005,-0.814611003606556,0.9773668067316463
LBR,2006,2.104147854196431,1.0410093248713754
LBR,2007,3.5142423256419226,1.2463448762325675
LBR,2008,4.27698195827078,1.5640142676889341
LBR,2009,4.951259274614581,2.1490695509105047
LBR,2010,5.087485132225236,2.5187539095604525
LBR,2011,5.312283516199446,2.5407409644082426
LBR,2012,5.582894532650025,2.6716728627381885
LBR,2013,5.329446437252752,3.0209596002182115
LEB,1945,-0.5655405817182397,1.1630665464292127
LEB,1946,-0.08599823738141016,0.8929993807424143
LEB,1947,0.0658603792665852,1.0482235814420886
LEB,1948,0.12455901509210902,0.9015219726388152
LEB,1949,0.27285259695504466,0.7651906680515274
LEB,1950,0.2754260587415421,0.7353855921557038
LEB,1951,0.2594617168092794,0.7830746250345418
LEB,1952,0.1838194666192466,0.7739383487845801
LEB,1953,-0.013361099056212416,0.883997632884791
LEB,1954,0.41519299556651973,0.7114894876903194
LEB,1955,0.7214871258175344,0.7002968337440246
LEB,1956,0.5198091536966416,0.669936935102291
LEB,1957,0.5854459727188269,0.8993669742684064
LEB,1958,0.5466286426809757,1.063216958216452
LEB,1959,0.5800266700851844,1.0405182411831868
LEB,1960,0.5532764023195438,0.7794229459844583
LEB,1961,0.38284373090964235,0.6593133875670543
LEB,1962,0.6578506218373563,0.8902348339890461
LEB,1963,0.4843843836856111,0.7072131219761947
LEB,1964,0.5781652037324594,0.7397189104790179
LEB,1965,0.6711322644694758,0.6131293654454159
LEB,1966,0.7541043271537186,0.7652698104746931
LEB,1967,0.7608127154933435,0.7301018772041973
LEB,1968,0.7018044132665614,0.8333070815175904
LEB,1969,0.7613176621369645,0.9210648708319238
LEB,1970,1.0290514212301638,0.8759086476565692
LEB,1971,2.9657568580174054,1.2220487297953269
LEB,1972,3.598639497578152,1.3806404223736706
LEB,1973,3.5745052598924927,1.3988762555552612
LEB,1974,2.626118390746293,1.1961505714459357
LEB,1975,0.25832843900680713,0.921254048244866
